game_id,turn,player,position,result,timestamp,game_state
20250318112614,1,player,"3,4",miss,2025-03-18 11:26:17,"3,4"
20250318112614,1,ai,"5,5",miss,2025-03-18 11:26:18,"5,5"
20250318112614,2,player,"6,6",miss,2025-03-18 11:26:20,"3,4;6,6"
20250318112614,2,ai,"3,5",hit,2025-03-18 11:26:21,"5,5;3,5"
20250318112614,3,player,"6,4",miss,2025-03-18 11:26:24,"3,4;6,6;6,4"
20250318112614,3,ai,"4,5",miss,2025-03-18 11:26:26,"5,5;3,5;4,5"
20250318112614,4,player,"5,2",hit,2025-03-18 11:26:28,"3,4;6,6;6,4;5,2"
20250318112614,4,ai,"3,4",hit,2025-03-18 11:26:30,"5,5;3,5;4,5;3,4"
20250318112614,5,player,"6,2",miss,2025-03-18 11:26:32,"3,4;6,6;6,4;5,2;6,2"
20250318112614,5,ai,"3,6",hit,2025-03-18 11:26:34,"5,5;3,5;4,5;3,4;3,6"
20250318112614,6,player,"4,2",hit,2025-03-18 11:26:35,"3,4;6,6;6,4;5,2;6,2;4,2"
20250318112614,6,ai,"3,7",sunk,2025-03-18 11:26:37,"5,5;3,5;4,5;3,4;3,6;3,7"
20250318112614,7,player,"3,2",hit,2025-03-18 11:26:38,"3,4;6,6;6,4;5,2;6,2;4,2;3,2"
20250318112614,7,ai,"4,4",miss,2025-03-18 11:26:39,"5,5;3,5;4,5;3,4;3,6;3,7;4,4"
20250318112614,8,player,"2,2",sunk,2025-03-18 11:26:40,"3,4;6,6;6,4;5,2;6,2;4,2;3,2;2,2"
20250318112614,8,ai,"4,6",miss,2025-03-18 11:26:42,"5,5;3,5;4,5;3,4;3,6;3,7;4,4;4,6"
20250318112614,9,player,"8,6",miss,2025-03-18 11:26:45,"3,4;6,6;6,4;5,2;6,2;4,2;3,2;2,2;8,6"
20250318112614,9,ai,"5,3",miss,2025-03-18 11:26:46,"5,5;3,5;4,5;3,4;3,6;3,7;4,4;4,6;5,3"
20250318112614,10,player,"8,3",miss,2025-03-18 11:26:47,"3,4;6,6;6,4;5,2;6,2;4,2;3,2;2,2;8,6;8,3"
20250318112614,10,ai,"5,7",miss,2025-03-18 11:26:49,"5,5;3,5;4,5;3,4;3,6;3,7;4,4;4,6;5,3;5,7"
20250318112614,11,player,"2,7",miss,2025-03-18 11:26:51,"3,4;6,6;6,4;5,2;6,2;4,2;3,2;2,2;8,6;8,3;2,7"
20250318112614,11,ai,"6,4",miss,2025-03-18 11:26:52,"5,5;3,5;4,5;3,4;3,6;3,7;4,4;4,6;5,3;5,7;6,4"
20250318120229,1,player,"5,7",miss,2025-03-18 12:03:32,"5,7"
20250318120229,1,ai,"3,5",miss,2025-03-18 12:03:34,"3,5"
20250318120229,2,player,"3,3",hit,2025-03-18 12:03:35,"5,7;3,3"
20250318120229,2,ai,"3,7",miss,2025-03-18 12:03:37,"3,5;3,7"
20250318120229,3,player,"4,3",hit,2025-03-18 12:03:38,"5,7;3,3;4,3"
20250318120229,3,ai,"5,5",hit,2025-03-18 12:03:40,"3,5;3,7;5,5"
20250318120229,4,player,"5,3",hit,2025-03-18 12:03:41,"5,7;3,3;4,3;5,3"
20250318120229,4,ai,"4,5",miss,2025-03-18 12:03:43,"3,5;3,7;5,5;4,5"
20250318120229,5,player,"6,3",hit,2025-03-18 12:03:44,"5,7;3,3;4,3;5,3;6,3"
20250318120229,5,ai,"5,4",miss,2025-03-18 12:03:46,"3,5;3,7;5,5;4,5;5,4"
20250318120229,6,player,"7,3",sunk,2025-03-18 12:03:47,"5,7;3,3;4,3;5,3;6,3;7,3"
20250318120229,6,ai,"5,6",hit,2025-03-18 12:03:49,"3,5;3,7;5,5;4,5;5,4;5,6"
